file name,zero_crossings_rate_mean,zero_crossings_rate_var,spectral_centroid_mean,spectral_centroid_var,Spectral Rolloff_mean,Spectral Rolloff_var,spectral_bandwidth_mean,spectral_bandwidth_var,rms_mean,rms_var,tempo,Chroma features_mean,Chroma features_var,mfcc_mean_a,mfcc_var_a,mfcc_mean_b,mfcc_var_b,mfcc_mean_c,mfcc_var_c,mfcc_mean_d,mfcc_var_d,mfcc_mean_e,mfcc_var_e,mfcc_mean_f,mfcc_var_f,mfcc_mean_g,mfcc_var_g,mfcc_mean_h,mfcc_var_h,mfcc_mean_i,mfcc_var_i,mfcc_mean_j,mfcc_var_j,mfcc_mean_k,mfcc_var_k,mfcc_mean_l,mfcc_var_l,mfcc_mean_m,mfcc_var_m,mfcc_mean_n,mfcc_var_n,mfcc_mean_o,mfcc_var_o,mfcc_mean_p,mfcc_var_p,mfcc_mean_q,mfcc_var_q,mfcc_mean_r,mfcc_var_r,mfcc_mean_s,mfcc_var_s,mfcc_mean_t,mfcc_var_t,genre
D:\Music Genre\THAi3sec/Hiphop\Hiphopth0.wav_1.wav_5.wav,0.06796123798076924,0.0005072879226955436,1822.3784340824875,508989.42515367694,3927.324969951923,4661512.32741006,2219.96236099933,389461.69744122395,0.13582734943598507,0.0010582174237257615,184.5703125,0.3399033,0.08940009,-81.39388,3484.838,124.72158,1179.1897,8.675418,635.76575,2.8132722,346.3125,-18.977005,381.8688,8.031305,110.70349,-6.3524895,155.86209,0.44836244,186.78552,-12.147677,55.721798,-3.640071,90.184425,-23.738913,79.37807,0.19031642,75.299446,-5.990305,85.29886,-8.642834,106.64573,-10.451935,66.98709,3.468541,70.59064,-20.230915,43.944946,0.1580506,45.80392,-10.347949,63.762012,-1.8468089,43.69412,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth0.wav_1.wav_6.wav,0.072265625,0.0013576544248140776,1918.4403785568527,785106.1879620365,4133.960899939904,6495643.661035059,2353.4743227920044,520201.0653846468,0.1331032582820107,0.0008526842128655434,95.703125,0.361781,0.08760636,-90.03604,3037.8555,121.57981,1281.84,20.302765,866.496,8.179249,372.26846,-9.262246,251.41788,8.567687,94.82428,-8.426607,106.1729,-0.32360336,157.0409,-14.26939,122.94066,-0.58988684,99.50951,-14.656896,128.10493,4.431845,60.427547,-4.9001923,99.54985,-4.063079,108.335396,-9.969313,62.325287,2.7109911,82.439735,-18.616377,47.28312,2.8217382,57.531776,-14.11675,54.458122,-4.3112454,37.837765,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth0.wav_1.wav_7.wav,0.08074669471153846,0.001836934964332355,2083.2047679778802,892807.3159205507,4468.305288461538,5309679.068785307,2337.193434090453,437987.8788703723,0.12473453108760556,0.0012515216688486362,184.5703125,0.34370196,0.092729636,-88.06273,4702.248,110.397766,1416.1476,7.634509,612.4769,8.05444,281.07925,-13.719582,202.09702,3.3145683,235.09726,-20.789656,202.7689,-5.017802,158.35835,-10.139318,142.00427,-7.325282,148.38411,-26.059896,96.28511,-2.3057892,77.21427,-8.64077,87.38108,-3.8576777,82.80297,-7.9259787,57.25173,0.13852428,71.55326,-21.13957,31.096676,-0.18662335,90.19635,-12.8148985,78.86681,3.6260006,89.30164,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth0.wav_1.wav_8.wav,0.06671424278846154,0.0005145921650722888,1890.4195379804655,543476.2232178246,4143.153921274038,4935163.532227595,2302.0376944018244,391219.8135721829,0.13557407740750624,0.0011563400832284567,184.5703125,0.32493782,0.09275559,-83.79428,3341.3562,118.24175,946.9567,10.188949,732.7783,4.972337,255.35345,-15.596473,253.66843,3.837722,83.73472,-15.551872,182.89255,-0.25299,253.72182,-15.154133,161.84723,-6.6387277,82.93088,-22.294483,87.60045,-2.7237024,79.17646,-9.877885,64.620804,-6.8699064,116.52353,-9.913642,72.584,1.1414566,47.63977,-18.39417,73.83894,2.6518855,41.451256,-10.047995,64.9813,-1.4112154,25.625349,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth0.wav_1.wav_9.wav,0.08033353365384616,0.001303919335088786,2206.0120704796655,846370.1586086655,4939.302696814904,5707201.313493837,2549.6699135630006,430324.78925300954,0.12621904255689828,0.001496201799907904,184.5703125,0.33993426,0.09114482,-84.24109,2553.8928,107.63562,1061.1151,20.115524,855.28546,-0.6428811,292.39658,-19.98728,396.54025,2.4657364,256.91983,-13.684076,192.78912,-4.5385656,202.33516,-17.211216,127.63529,-5.781381,149.0767,-19.282429,109.856476,1.8004225,83.321976,-8.292452,54.100487,-1.6784427,107.60032,-7.1462035,71.27694,2.4322457,79.32467,-15.40533,50.343616,5.0942755,58.63422,-11.162906,53.635693,0.16908376,38.279236,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth1.wav_1.wav_0.wav,0.08816481370192308,0.0024959234232027855,2549.990633092768,426499.80160272133,5695.366586538462,1931329.330737633,2694.0381985868344,109935.89439779712,0.13797944930951078,0.007146238823928538,123.046875,0.4673722,0.09161237,-77.962555,9952.83,81.89031,504.5357,5.3852277,428.6968,21.671661,328.90402,-5.505092,229.69446,4.901373,230.73203,-7.40302,90.28609,11.677998,130.70096,-8.995251,72.73992,9.262491,98.18107,-5.1840634,50.10019,11.118453,65.90813,-2.0043921,75.63846,8.250864,68.11579,0.95066786,40.26013,12.931892,71.4973,-2.040176,63.82889,7.230772,27.503677,-0.88314235,44.993057,5.217202,54.050056,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth1.wav_1.wav_1.wav,0.08117112379807692,0.0016269860041917426,2559.197833913289,335796.6228173685,5796.6554612379805,2102691.674053634,2717.526148866787,114740.04275167029,0.16252010522781746,0.003815193454594008,123.046875,0.4932622,0.08323334,-37.427727,5144.2446,83.469666,424.33362,-0.78866297,522.3573,19.393753,191.57263,3.0229008,224.81747,6.508578,185.25154,-7.52795,136.34554,14.823911,93.08932,-9.590142,142.83824,9.601516,71.53047,-2.2205427,72.58617,11.449932,51.146347,-2.326149,61.816166,10.7529745,85.47106,-2.9442956,57.659637,13.412948,46.696423,-4.1234493,48.073135,7.0964413,42.32466,-0.3849073,28.259836,6.7465286,47.17713,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth1.wav_1.wav_2.wav,0.08606144831730769,0.0015605791221708944,2455.321356776274,344588.79306706646,5452.455491286058,2329531.153026594,2648.306315942538,127992.1193484675,0.15541679924773988,0.005509017219446366,143.5546875,0.4510707,0.09331832,-43.38349,4581.4536,88.47311,562.46765,-1.7159247,539.696,19.471544,348.1502,0.8679795,267.99722,5.6818013,208.3105,-5.74266,97.21858,13.5224905,71.91263,-7.0147614,147.96068,11.374015,121.15928,-8.883332,142.72208,9.209441,52.90752,-6.8199725,48.082924,7.288381,85.14928,-1.7119831,56.67827,9.465015,38.977436,-3.6447983,47.6815,9.114387,44.024113,-3.1596522,29.108885,4.5604568,57.2944,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth1.wav_1.wav_3.wav,0.10874774639423077,0.0034481093869406796,2882.205946989715,266659.9698350455,6305.418795072115,1412559.8784672439,2788.6552028828196,96845.62222011136,0.15613476035912818,0.0030512745298305636,83.35433467741936,0.46915537,0.08926311,-19.00867,1721.6299,69.31988,274.4285,-5.175419,444.41428,23.709667,303.17136,0.6488776,211.58566,5.887967,114.531235,-9.927825,85.533806,11.3870325,92.04195,-9.511304,123.463135,10.961039,96.90092,-4.8111806,85.83133,10.722365,72.089005,-5.8941965,86.51627,9.427956,41.14916,-1.474581,51.896393,11.932994,58.252766,-2.7722235,37.39912,10.506378,45.0123,-1.0228928,58.549416,6.9173045,62.516853,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth1.wav_1.wav_4.wav,0.10556265024038461,0.010530076012808897,2621.642807739464,740961.6955387214,5664.723182091346,2816563.153888206,2700.270439673,165458.25947718252,0.16532756372876897,0.0049831913947766026,123.046875,0.46711177,0.086552076,-47.02715,3574.7932,78.7976,654.0924,-1.4189792,1022.8853,21.196522,435.68906,6.1899133,132.71332,5.952436,302.18652,-4.5329256,88.40969,15.021926,50.59954,-6.353386,96.684044,11.9878645,98.03561,-4.607232,77.24904,9.032401,50.862164,-5.2456627,45.774113,9.481166,64.64111,-1.5599054,69.32886,12.2534685,48.24436,-4.8173113,54.17392,9.386631,40.905636,-2.1075594,54.054386,6.960394,49.868164,hiphop
